OBJECTID_1,OBJECTID,NAME,CCR,Area_sq_mi,Study_Regi,FULLNAME,Type,DFG_URL,CCR_Int,SHORTNAME,Acres,Hectares,Shape__Area,Shape__Length
58,92,Morro Bay SMR,Section 632 (b) (92),0.88147249,CCSR,Morro Bay State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-92,92,Morro Bay,564.1446352,228.301234,3438638.984,11212.80299
59,95,Vandenberg SMR,Section 632 (b) (95),32.90693926,CCSR,Vandenberg State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-95,95,Vandenberg,21060.52488,8522.892035,126282404.3,71196.85374
60,97,Kashtayit SMCA,Section 632 (b) (97),2.01746639,SCSR,Kashtayit State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-97,97,Kashtayit,1291.183625,522.5234746,7705597.352,11510.94757
61,100,Goleta Slough SMCA (No-Take),Section 632 (b) (100),0.15800503,SCSR,Goleta Slough State Marine Conservation Area,SMCA (No-Take),https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-100,100,Goleta Slough,101.1236229,40.92327828,602838.7813,15319.72067
62,101,Richardson Rock SMR,Section 632 (b) (101),40.74868812,SCSR,Richardson Rock State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-101,101,Richardson Rock,26079.26411,10553.90374,154292788,48025.80656
63,102,San Miguel Island Special Closure,Section 632 (b) (102),0.86454794,SCSR,San Miguel Island Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-102,102,San Miguel Island Special Closure,553.3128814,223.9177788,3268634.898,19328.9304
64,103,Harris Point SMR,Section 632 (b) (103),25.3972158,SCSR,Harris Point State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-103,103,Harris Point,16254.28275,6577.874855,96157423.06,53777.53727
65,105,Carrington Point SMR,Section 632 (b) (105),12.77991893,SCSR,Carrington Point State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-105,105,Carrington Point,8179.180645,3309.996972,48324999.63,38226.59487
66,106,Skunk Point SMR,Section 632 (b) (106),1.46682897,SCSR,Skunk Point State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-106,106,Skunk Point,938.7742757,379.9084707,5537493.215,11865.4521
67,107,South Point SMR,Section 632 (b) (107),13.0772612,SCSR,South Point State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-107,107,South Point,8369.480455,3387.008573,49262858.75,31206.48435
68,108,Painted Cave SMCA,Section 632 (b) (108),1.78466967,SCSR,Painted Cave State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-108,108,Painted Cave,1142.193134,462.229162,6754179.969,13829.96627
69,109,Gull Island SMR,Section 632 (b) (109),19.93167546,SCSR,Gull Island State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-109,109,Gull Island,12756.32302,5162.300775,75186386.04,34482.82532
70,110,Scorpion SMR,Section 632 (b) (110),9.63599763,SCSR,Scorpion State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-110,110,Scorpion,6167.063008,2495.721854,36469926.27,28619.07255
71,111,Anacapa Island Special Closure,Section 632 (b) (111),1.02621789,SCSR,Anacapa Island Special Closure,Special Closure,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-111,111,Anacapa Island Special Closure,656.7820628,265.7902709,3877857.715,49684.77362
72,112,Anacapa Island SMCA,Section 632 (b) (112),7.30173979,SCSR,Anacapa Island State Marine Conservation Area,SMCA,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-112,112,Anacapa Island,4673.132049,1891.149445,27610786.87,24129.52442
73,113,Anacapa Island SMR,Section 632 (b) (113),11.54559417,SCSR,Anacapa Island State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-113,113,Anacapa Island,7389.209657,2990.307056,43656419.91,30069.09598
74,114,Footprint SMR,Section 632 (b) (114),7.05443024,SCSR,Footprint State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-114,114,Footprint,4514.853306,1827.09631,26629710.71,29783.5801
75,115,Begg Rock SMR,Section 632 (b) (115),37.96253171,SCSR,Begg Rock State Marine Reserve,SMR,https://www.wildlife.ca.gov/Conservation/Marine/MPAs/Network/Title-14-Section-632#Section-632-b-115,115,Begg Rock,24296.11691,9832.289678,141325783.7,42142.96218
